Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
31-12-14,20,0,0h00,0,0.0,0,Proto2,,velo avec Titi
23-12-14,43,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
22-12-14,107,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
15-12-14,237,0,0h00,0,0.0,0,LaGuimauve,,2 semaines de vélotaf
05-12-14,18,0,0h00,0,0.0,0,Proto2,,divers
29-11-14,138,25,5h31,0,0.0,0,Vendetta,,col de lanchard
27-11-14,103,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
20-11-14,67,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
18-11-14,43,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
08-11-14,160,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
31-10-14,173,0,0h00,0,0.0,0,LaGuimauve,,vélotaf aps réparation
28-10-14,28,0,0h00,0,0.0,0,Vendetta,,vélotaf
27-10-14,20,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine 
24-10-14,61,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine (guimauve casse)
10-10-14,87,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
05-10-14,113,0,0h00,0,0.0,0,Vendetta,,la viperine
03-10-14,89,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
26-09-14,108,0,0h00,0,0.0,0,LaGuimauve,,velotaf de la semaine
20-09-14,250,0,0h00,0,0.0,0,Vendetta,,"BRM200 Grenoble -La tour du pin, Morestel, lac d'aiguebellette, les echelles "
19-09-14,88,0,0h00,0,0.0,0,LaGuimauve,,velotaf de la semaine
17-09-14,62,0,0h00,0,0.0,0,Vendetta,,velotaf - laval - revel
12-09-14,49,0,0h00,0,0.0,0,Vendetta,,vélotaf + sortie Venon
12-09-14,64,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
07-09-14,109,18.4,5h55,1800,16.5,0,Vendetta,,chamrousse par le col des mouilles
05-09-14,91,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
29-08-14,207,0,0h00,0,0.0,0,Vendetta,,vélotaf 1 allé par laval 1 allé par Saint Agnès 1 retour par Saint Hilaire du touvet 1 retour chez Lionel
29-08-14,42,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
18-08-14,21,0,0h00,0,0.0,0,LaGuimauve,,vélotaf
15-08-14,108,30.6,3h32,0,0.0,0,Vendetta,,piste cyclable
15-08-14,180,0,0h00,0,0.0,0,Vendetta,,velotaf de la semaine 2 fois par laval 1 fois par Saint Agnes
14-08-14,86,0,0h00,0,0.0,0,Vendetta,,2 vélotaf dont un par les balcons (LAVAL)
14-08-14,46,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
09-08-14,165,0,0h00,0,0.0,0,Proto2,,vacances
20-07-14,68,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
16-07-14,40,0,0h00,0,0.0,0,Vendetta,,vélotaf par les balcons de belledonne
13-07-14,131,18.3,7h10,2000,15.3,0,Vendetta,,Annecy par le semnoz
11-07-14,131,0,0h00,0,0.0,0,LaGuimauve,,vélotaf
04-07-14,91,0,0h00,0,0.0,0,Proto2,,velotaf de la semaine
02-07-14,43,0,0h00,0,0.0,0,Vendetta,,velotaf du jour par les balcons de belledonne
29-06-14,49,0,0h00,0,0.0,0,Vendetta,,Col dui coq
27-06-14,21,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
20-06-14,85,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
20-06-14,29,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
13-06-14,114,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine 
29-05-14,73,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine 
23-05-14,95,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
22-05-14,52,0,0h00,0,0.0,0,Performer SAKI,,dernier vélotaf avec le saki
18-05-14,135,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
12-05-14,122,0,0h00,0,0.0,0,Proto2,,quelques semaines de vélotaf en binome avec la guimove
20-04-14,86,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
13-04-14,108,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
04-04-14,107,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine 
30-03-14,23,0,0h00,0,0.0,0,Proto2,,course WE
28-03-14,87,0,0h00,0,0.0,0,LaGuimauve,,velotaf de la semaine
22-03-14,42,0,0h00,0,0.0,0,Performer SAKI,,2/5 de vélotaf 
22-03-14,64,0,0h00,0,0.0,0,LaGuimauve,,3/5 de vélotaf
08-03-14,122,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
28-02-14,253,0,0h00,0,0.0,0,Performer SAKI,,3 semaines de velotaf
07-02-14,106,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine
31-01-14,104,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine
24-01-14,123,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
19-01-14,10,0,0h00,0,0.0,0,Proto2,,anniversaire copain valentin
18-01-14,210,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
